avgAnnCount,avgDeathsPerYear,TARGET_deathRate,incidenceRate,medIncome,popEst2015,povertyPercent,studyPerCap,MedianAge,MedianAgeMale,MedianAgeFemale,AvgHouseholdSize,PercentMarried,PctNoHS18_24,PctHS18_24,PctSomeCol18_24,PctBachDeg18_24,PctHS25_Over,PctBachDeg25_Over,PctEmployed16_Over,PctUnemployed16_Over,PctPrivateCoverage,PctPrivateCoverageAlone,PctEmpPrivCoverage,PctPublicCoverage,PctPublicCoverageAlone,PctWhite,PctBlack,PctAsian,PctOtherRace,PctMarriedHouseholds,BirthRate,binnedInc_mean,State_encode,Geography,binnedInc,County,State
1397.0,469.0,164.9,489.8,61898.0,260131.0,11.2,499.7482038,39.3,36.9,41.7,2.54,52.5,11.5,39.5,42.1,6.9,23.2,19.6,51.9,8.0,75.1,59.093046261086165,41.6,32.9,14.0,81.78052858,2.594728333,4.821857102,1.843478533,52.85607588,6.118831029,93564.75,166.49230769230772,"Kitsap County, Washington","(61494.5, 125635]",Kitsap County,Washington
173.0,70.0,161.3,411.6,48127.0,43269.0,18.6,23.11123437,33.0,32.2,33.7,2.34,44.5,6.1,22.4,64.0,7.5,26.0,22.7,55.9,7.8,70.2,53.8,43.6,31.1,15.3,89.22850915,0.969102455,2.246232585,3.7413515310000003,45.37250044,4.333095578,49534.0,166.49230769230772,"Kittitas County, Washington","(48021.6, 51046.4]",Kittitas County,Washington
102.0,50.0,174.7,349.7,49348.0,21026.0,14.6,47.56016361,45.0,44.0,45.8,2.62,54.2,24.0,36.6,39.116150928465316,9.5,29.0,16.0,45.9,7.0,63.7,43.5,34.9,42.1,21.1,90.9221902,0.739673391,0.465898175,2.7473583089999996,54.44486837,3.729487817,49534.0,166.49230769230772,"Klickitat County, Washington","(48021.6, 51046.4]",Klickitat County,Washington
427.0,202.0,194.8,430.4,44243.0,75882.0,17.1,342.6372526,42.8,42.2,43.4,2.52,52.7,20.2,41.2,36.1,2.5,31.6,9.3,48.3,12.1,58.4,40.3,35.0,45.3,25.0,91.74468649,0.782625968,1.16135867,1.362643183,51.02151448,4.603840773,43962.7,166.49230769230772,"Lewis County, Washington","(42724.4, 45201]",Lewis County,Washington
57.0,26.0,144.4,350.1,49955.0,10321.0,12.5,0.0,48.3,47.8,48.9,2.34,57.8,14.9,43.0,40.0,2.0,33.4,15.0,48.2,4.8,61.6,43.9,35.1,44.0,22.7,94.10402393,0.270192029,0.665830358,0.492135482,54.02745995,6.796657382,49534.0,166.49230769230772,"Lincoln County, Washington","(48021.6, 51046.4]",Lincoln County,Washington
428.0,152.0,176.0,505.4,52313.0,61023.0,15.6,180.259902,45.4,43.5,48.0,2.58,50.4,29.9,35.1,41.32248319947881,4.5,30.4,11.9,44.1,12.9,60.0,38.8,32.6,43.2,20.2,84.88263065,1.653205244,1.53805662,3.31463539,51.22035959,4.964476021,52796.0,166.49230769230772,"Mason County, Washington","(51046.4, 54545.6]",Mason County,Washington
250.0,97.0,175.9,461.8,37782.0,41516.0,23.2,0.0,42.6,42.2,43.5,2.42,54.1,26.1,41.4,43.11357529624103,5.8,29.8,11.9,51.8,8.9,49.5,35.0,28.3,46.4,28.7,75.10645505,0.616955386,0.8661569729999999,8.356721185,51.01389975,4.204317269,38888.25,166.49230769230772,"Okanogan County, Washington","(37413.8, 40362.7]",Okanogan County,Washington
146.0,71.0,183.6,404.0,40189.0,20848.0,17.8,0.0,51.7,50.8,52.5,2.24,52.7,27.3,33.9,36.5,2.2,31.6,11.3,40.9,8.9,55.8,33.1,25.9,50.9,24.1,89.40663599,0.305158634,1.8890772580000001,2.286267861,48.96703297,5.889178996,38888.25,166.49230769230772,"Pacific County, Washington","(37413.8, 40362.7]",Pacific County,Washington
88.0,36.0,190.5,459.4,42579.0,13088.0,22.3,0.0,49.3,48.4,49.8,2.38,55.9,34.7,39.4,38.159218255360514,1.4,32.2,12.0,39.5,10.3,55.5,37.8,29.9,48.1,26.6,91.78747687,0.185070944,0.208204812,0.6169031460000001,53.44699778,5.587583148999999,41543.55,166.49230769230772,"Pend Oreille County, Washington","(40362.7, 42724.4]",Pend Oreille County,Washington
4025.0,1380.0,177.8,510.9,60397.0,843954.0,13.1,427.7484318,35.8,34.7,37.0,2.65,50.0,15.6,36.3,45.524959159453545,7.1,28.8,16.2,56.6,9.2,69.9,56.86009621194804,44.4,31.4,16.5,74.72966791,6.710854162,6.0414720079999995,2.6991843810000002,50.06357342,5.533430211000001,58020.05,166.49230769230772,"Pierce County, Washington","(54545.6, 61494.5]",Pierce County,Washington
113.0,36.0,121.4,413.3,54721.0,16252.0,12.7,0.0,54.4,54.0,54.6,2.04,56.8,17.7,32.4,26.801909139185163,5.2,17.2,26.2,54.6,5.9,67.2,57.17341567117112,27.9,41.6,18.3,92.57332665,0.651792429,1.428929556,2.2374028580000003,50.0389206,4.586129754,58020.05,166.49230769230772,"San Juan County, Washington","(54545.6, 61494.5]",San Juan County,Washington
740.0,269.0,172.7,499.3,51395.0,121846.0,15.7,837.1222691,41.0,40.0,42.2,2.56,53.6,25.5,33.8,37.6,3.1,26.7,15.9,51.973609056054855,8.2,64.4,63.91477878409288,38.0,38.1,20.2,85.59027341,0.8060799540000001,1.887835902,6.226590582999999,52.93732685,5.818153266,52796.0,166.49230769230772,"Skagit County, Washington","(51046.4, 54545.6]",Skagit County,Washington
55.0,26.0,188.3,398.9,52673.0,11339.0,12.6,0.0,45.2,44.9,45.5,2.49,54.4,20.0,43.8,57.34902225633254,2.4,29.2,14.2,51.5,8.3,64.4,49.7,42.6,36.1,20.5,93.41812683,0.8449702040000001,0.978386552,0.773814818,52.94771969,4.805591962,52796.0,166.49230769230772,"Skamania County, Washington","(51046.4, 54545.6]",Skamania County,Washington
3438.0,1118.0,165.3,493.4,71890.0,772501.0,9.9,138.51114760000002,37.6,36.6,38.7,2.68,52.1,15.4,33.3,50.6377534171463,8.3,24.3,20.9,62.1,7.5,73.3,61.6,54.3,25.9,14.1,78.83273756,2.595851085,9.51151338,2.2527198040000003,52.72049671,4.729251068,93564.75,166.49230769230772,"Snohomish County, Washington","(61494.5, 125635]",Snohomish County,Washington
2265.0,901.0,171.0,440.7,50083.0,490945.0,16.3,462.37358560000007,37.2,35.7,38.7,2.45,49.4,10.9,29.3,51.2,8.6,25.7,18.1,55.1,8.4,65.2,50.6,42.5,36.5,21.4,89.03816718,1.8270414609999999,2.315985625,1.03362505,48.18837711,5.355835918,49534.0,166.49230769230772,"Spokane County, Washington","(48021.6, 51046.4]",Spokane County,Washington
251.0,106.0,174.2,423.8,43823.0,43791.0,19.3,0.0,46.2,45.6,46.8,2.44,57.2,25.1,35.3,35.28505219795671,3.9,34.4,10.7,46.3,9.4,58.3,39.3,33.9,45.8,24.1,89.17745936,0.489115459,0.603931294,0.865711399,55.21239889,3.631082062,43962.7,166.49230769230772,"Stevens County, Washington","(42724.4, 45201]",Stevens County,Washington
1390.0,483.0,169.9,495.9,61653.0,269536.0,11.9,207.7644545,38.5,37.1,39.9,2.52,52.4,14.8,31.7,46.2,7.4,22.7,20.3,56.5,8.5,74.5,55.4,43.5,30.7,13.7,82.58622199,2.8398731739999996,5.83580425,1.226386727,50.87449211,5.180155167,93564.75,166.49230769230772,"Thurston County, Washington","(61494.5, 125635]",Thurston County,Washington
32.0,12.0,153.8,463.2,51022.0,4042.0,13.9,0.0,52.1,51.5,53.1,2.31,53.5,37.2,20.8,37.8,4.2,33.1,10.1,35.7,10.6,64.7,38.6,35.2,49.7,20.4,92.96158612,0.123915737,1.1400247829999999,0.0,53.37995338,0.535475234,49534.0,166.49230769230772,"Wahkiakum County, Washington","(48021.6, 51046.4]",Wahkiakum County,Washington
